poll_epoch,arm_n,replicate,image_digest,clock_offset_s,hostname,status,healthy,reboot_count,tofu_start_epoch,tofu_end_epoch,cloudinit_start_epoch,cloudinit_end_epoch,container_start_epoch,container_end_epoch,total_startup_s,created_epoch,session_started_epoch,last_seen_epoch,machine_identity
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-36,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399639.003592,,1788399674.898577,i-01779448e883f8b25
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-37,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399639.004346,,1788399677.489518,i-081117ee6b7ef57ef
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-38,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399639.005111,,1788399764.918329,i-041247dc384df8d9b
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-39,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399639.005927,,1788399781.419258,i-06a6bf9bcf8191af1
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-4,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399639.006755,,1788399673.166586,i-073593b6510df8726
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-40,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399639.007523,,1788399773.908195,i-036eb4dcdc2126e29
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-41,initializing,,0,1788399546.0,1788399636.0,,,,,,1788399639.008341,,1788399676.105114,i-0202c052271c05cf5
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-42,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399628.977153,,1788399765.207646,i-009125d982848de39
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-43,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399615.731201,,1788399761.222074,i-097f70599ac8b6284
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-44,initializing,,0,1788399545.0,1788399637.0,,,,,,1788399614.477248,,1788399764.068841,i-0115af374f22b4ba7
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-45,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399639.011489,,1788399764.502832,i-068ff45369d00b752
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-46,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399614.533245,,1788399763.85499,i-02bafb163bbf578e7
1788399783.696964,60,1,ghcr.io/talmolab/lablink-client-base-image:linux-amd64-test@sha256:1ec2fde6860186b3d45ac83890167258f83512955dbce65f072d4e8c310cb9de,0.5133411884307861,sleap-lablink-client-prod-vm-47,initializing,,0,1788399546.0,1788399637.0,,,,,,1788399636.340377,,1788399763.957365,i-001463faa8a74fad3
